Date,London Metal Exchange Index,Date,Copper,Date,Aluminium,Date,IMF World Commodity Food Price
06/03/20,2602.5,06/03/20,257.3,06/03/20,1668.25,,
28/02/20,2606.9,28/02/20,254.6,28/02/20,1685.5,,
21/02/20,2660.5,21/02/20,260.8,21/02/20,1701.25,,
14/02/20,2674.5,14/02/20,259.95,14/02/20,1696.75,,
07/02/20,2638.5,07/02/20,255.3,07/02/20,1703.25,,
31/01/20,2629.9,31/01/20,251.7,31/01/20,1703.5,,
24/01/20,2763.6,24/01/20,268.4,24/01/20,1766,,
17/01/20,2892.6,17/01/20,284.55,17/01/20,1790.75,,
10/01/20,2864.7,10/01/20,281.35,10/01/20,1781.25,,
03/01/20,2831.4,03/01/20,278.7,03/01/20,1798.75,,
27/12/19,2866.6,27/12/19,283.65,27/12/19,1808.25,,
20/12/19,2859.7,20/12/19,281.1,20/12/19,1782,,
13/12/19,2818.3,13/12/19,278.05,13/12/19,1757,,
06/12/19,2767.2,06/12/19,271.1,06/12/19,1764.25,,
29/11/19,2749,29/11/19,264.2,29/11/19,1780,,
22/11/19,2757.3,22/11/19,264.8,22/11/19,1747,,
15/11/19,2773.9,15/11/19,263.8,15/11/19,1759.5,,
08/11/19,2856.9,08/11/19,268.2,08/11/19,1820.25,,
01/11/19,2848.4,01/11/19,265.3,01/11/19,1798,,
25/10/19,2850,25/10/19,267.55,25/10/19,1733.5,,
18/10/19,2809.3,18/10/19,263.6,18/10/19,1746.5,,
11/10/19,2811.1,11/10/19,262.8,11/10/19,1714,,
04/10/19,2759.7,04/10/19,256.25,04/10/19,1708.25,,
27/09/19,2779.5,27/09/19,259.75,27/09/19,1722.75,,
20/09/19,2819.2,20/09/19,259,20/09/19,1785.5,,
13/09/19,2873.7,13/09/19,268.1,13/09/19,1777.25,,
06/09/19,2829.1,06/09/19,261.55,06/09/19,1769.25,,
30/08/19,2757.3,30/08/19,253.3,30/08/19,1732.5,,
23/08/19,2723.8,23/08/19,253,23/08/19,1754.25,,
16/08/19,2768.3,16/08/19,259.5,16/08/19,1760,,
09/08/19,2752,09/08/19,258.9,09/08/19,1747.5,,
02/08/19,2736.6,02/08/19,257.15,02/08/19,1750.5,,
26/07/19,2823.9,26/07/19,267.65,26/07/19,1786.75,,
19/07/19,2873.8,19/07/19,274.45,19/07/19,1834.25,,
12/07/19,2813.1,12/07/19,269.15,12/07/19,1802.75,,
05/07/19,2772.1,05/07/19,265.85,05/07/19,1787,,
28/06/19,2818.6,28/06/19,270.55,28/06/19,1782.25,,
21/06/19,2786.3,21/06/19,270.45,21/06/19,1750.25,,
14/06/19,2744.1,14/06/19,262.95,14/06/19,1733.5,,
07/06/19,2735.9,07/06/19,262.75,07/06/19,1737.5,,
31/05/19,2763.1,31/05/19,264,31/05/19,1777.5,,
24/05/19,2810.9,24/05/19,270.65,24/05/19,1780,,
17/05/19,2845.7,17/05/19,274.8,17/05/19,1819,,
10/05/19,2854.5,10/05/19,278.5,10/05/19,1777.25,,
03/05/19,2900.5,03/05/19,282.5,03/05/19,1769.5,,
26/04/19,2968.7,26/04/19,288.65,26/04/19,1818,,
19/04/19,3001.4,19/04/19,292,19/04/19,1850.25,,
12/04/19,3026.3,12/04/19,294.6,12/04/19,1844.5,,
05/04/19,3020.8,05/04/19,289.45,05/04/19,1869.25,,
29/03/19,3056.7,29/03/19,293.6,29/03/19,1900.25,,
22/03/19,2998.5,22/03/19,283.6,22/03/19,1888,,
15/03/19,3020.1,15/03/19,290.35,15/03/19,1875,,
08/03/19,2998.4,08/03/19,289.4,08/03/19,1845.25,,
01/03/19,3055.1,01/03/19,293.35,01/03/19,1900.75,,
22/02/19,3038.3,22/02/19,295.15,22/02/19,1897.5,,
15/02/19,2924.8,15/02/19,279.85,15/02/19,1825.75,,
08/02/19,2942.9,08/02/19,281.05,08/02/19,1863.25,,
01/02/19,2940.7,01/02/19,277.3,01/02/19,1867.25,,
25/01/19,2909.7,25/01/19,272.9,25/01/19,1912.75,,
18/01/19,2873.2,18/01/19,271.9,18/01/19,1870,,
11/01/19,2814.1,11/01/19,266.2,11/01/19,1813.5,,
04/01/19,2796.9,04/01/19,264.75,04/01/19,1850.25,,
28/12/18,2809.3,28/12/18,268.15,28/12/18,1820.75,,
21/12/18,2830.7,21/12/18,267.85,21/12/18,1885.75,,
14/12/18,2875.5,14/12/18,276.05,14/12/18,1908.75,,
07/12/18,2898.3,07/12/18,275.75,07/12/18,1956.5,,
30/11/18,2909.8,30/11/18,277.75,30/11/18,1966.75,,
23/11/18,2902.2,23/11/18,276.65,23/11/18,1951.25,,
16/11/18,2918.3,16/11/18,279.85,16/11/18,1921.5,,
09/11/18,2880.3,09/11/18,268.45,09/11/18,1950.5,,
02/11/18,2952,02/11/18,280.7,02/11/18,1968.5,,
26/10/18,2945.1,26/10/18,274.1,26/10/18,1994.25,,
19/10/18,2967.4,19/10/18,277.8,19/10/18,2010.5,,
12/10/18,3005.8,12/10/18,280.05,12/10/18,2034.5,,
05/10/18,2998.4,05/10/18,276.3,05/10/18,2132,,
28/09/18,2994.8,28/09/18,280.5,28/09/18,2056,,
21/09/18,3025.3,21/09/18,283.65,21/09/18,2074.5,,
14/09/18,2879.7,14/09/18,262.75,14/09/18,2007,,
07/09/18,2882.5,07/09/18,260.35,07/09/18,2036.25,,
31/08/18,2928.3,31/08/18,264.9,31/08/18,2109.5,,
24/08/18,2970.4,24/08/18,270.05,24/08/18,2081.75,,
17/08/18,2877.9,17/08/18,262.9,17/08/18,2018.25,,
10/08/18,3007.2,10/08/18,274.25,10/08/18,2088,,
03/08/18,2988.1,03/08/18,276.35,03/08/18,2007.25,,
27/07/18,3033,27/07/18,278.75,27/07/18,2058.5,,
20/07/18,2972.7,20/07/18,274.6,20/07/18,2024,,
13/07/18,3005.2,13/07/18,277,13/07/18,2066.75,,
06/07/18,3060.9,06/07/18,281.3,06/07/18,2111.25,,
29/06/18,3203.9,29/06/18,295.1,29/06/18,2164,,
22/06/18,3274.2,22/06/18,302.7,22/06/18,2193.25,,
15/06/18,3357.9,15/06/18,314.45,15/06/18,2206,,
08/06/18,3488.8,08/06/18,330,08/06/18,2302,,
01/06/18,3370.5,01/06/18,309.85,01/06/18,2318,,
25/05/18,3331.2,25/05/18,306.7,25/05/18,2267.5,,
18/05/18,3330.5,18/05/18,305.1,18/05/18,2280.25,,
11/05/18,3343.8,11/05/18,309.5,11/05/18,2278.75,,
04/05/18,3339,04/05/18,306.55,04/05/18,2374,,
27/04/18,3288.3,27/04/18,304.6,27/04/18,2227,,
20/04/18,3457.1,20/04/18,313.5,20/04/18,2485,,
13/04/18,3316.2,13/04/18,307.1,13/04/18,2291,,
06/04/18,3222.6,06/04/18,305.85,06/04/18,2026.25,,
30/03/18,3204.8,30/03/18,302.55,30/03/18,1990.75,,
23/03/18,3189.3,23/03/18,298.45,23/03/18,2036.75,,
16/03/18,3276.1,16/03/18,309.3,16/03/18,2064.5,,
09/03/18,3310.9,09/03/18,311.6,09/03/18,2104.5,,
02/03/18,3316.3,02/03/18,310.1,02/03/18,2144.25,,
23/02/18,3391.6,23/02/18,321.25,23/02/18,2134,,
16/02/18,3464.4,16/02/18,324.85,16/02/18,2218,,
09/02/18,3270.7,09/02/18,303.35,09/02/18,2124.25,,
02/02/18,3406.5,02/02/18,318.75,02/02/18,2212.5,,
26/01/18,3428.8,26/01/18,319.9,26/01/18,2259.75,,
19/01/18,3375.5,19/01/18,318.75,19/01/18,2222,,
12/01/18,3380,12/01/18,321.85,12/01/18,2203.25,,
05/01/18,3367.6,05/01/18,322.95,05/01/18,2190.25,,
29/12/17,3418.9,29/12/17,330.05,29/12/17,2258.25,,
22/12/17,3343.8,22/12/17,321.45,22/12/17,2183.75,,
15/12/17,3226.7,15/12/17,311,15/12/17,2050.5,,
08/12/17,3100.7,08/12/17,295.5,08/12/17,1993.25,,
01/12/17,3219.4,01/12/17,306.55,01/12/17,2059.5,,
24/11/17,3288.6,24/11/17,316.9,24/11/17,2120.75,,
17/11/17,3206.7,17/11/17,306.7,17/11/17,2092.5,,
10/11/17,3226.8,10/11/17,307.6,10/11/17,2085,,
03/11/17,3286.5,03/11/17,311.75,03/11/17,2170,,
27/10/17,3244.8,27/10/17,310.35,27/10/17,2156.25,,
20/10/17,3257.2,20/10/17,316.55,20/10/17,2125.25,,
13/10/17,3266.1,13/10/17,313.35,13/10/17,2110.25,,
06/10/17,3197.9,06/10/17,302.9,06/10/17,2134.25,,
29/09/17,3124.7,29/09/17,295.5,29/09/17,2081,,
22/09/17,3122,22/09/17,292.45,22/09/17,2141.5,,
15/09/17,3110.5,15/09/17,292.8,15/09/17,2056.25,,
08/09/17,3158.3,08/09/17,302.15,08/09/17,2076.5,,
01/09/17,3242.8,01/09/17,309.8,01/09/17,2121.75,,
25/08/17,3151.5,25/08/17,303.35,25/08/17,2057.25,,
18/08/17,3107,18/08/17,293.95,18/08/17,2051.5,,
11/08/17,3049.6,11/08/17,291.2,11/08/17,2038.25,,
04/08/17,2979.7,04/08/17,288.5,04/08/17,1892,,
28/07/17,2960.9,28/07/17,287.5,28/07/17,1888.75,,
21/07/17,2866.2,21/07/17,271.5,21/07/17,1899.75,,
14/07/17,2858.5,14/07/17,268.4,14/07/17,1908.75,,
07/07/17,2821.7,07/07/17,263.75,07/07/17,1921,,
30/06/17,2853.5,30/06/17,269.9,30/06/17,1910.5,,
23/06/17,2780.9,23/06/17,262.4,23/06/17,1857.25,,
16/06/17,2719.8,16/06/17,256.4,16/06/17,1855,,
09/06/17,2758.7,09/06/17,264.95,09/06/17,1897.25,,
02/06/17,2745.8,02/06/17,257.45,02/06/17,1924.25,,
26/05/17,2769.8,26/05/17,255.95,26/05/17,1944.25,,
19/05/17,2774.6,19/05/17,257.4,19/05/17,1938.75,,
12/05/17,2715.7,12/05/17,251.8,12/05/17,1885.5,,
05/05/17,2725.5,05/05/17,251.95,05/05/17,1895.25,,
28/04/17,2782.5,28/04/17,259.65,28/04/17,1904,,
21/04/17,2748.1,21/04/17,253.75,21/04/17,1925.25,,
14/04/17,2773.3,14/04/17,257.05,14/04/17,1895,,
07/04/17,2840.6,07/04/17,264.7,07/04/17,1948.5,,
31/03/17,2858.7,31/03/17,265.25,31/03/17,1954.75,,
24/03/17,2846.2,24/03/17,262.35,24/03/17,1934.75,,
17/03/17,2881.8,17/03/17,267.95,17/03/17,1908.5,,
10/03/17,2785.5,10/03/17,258.65,10/03/17,1868,,
03/03/17,2859.2,03/03/17,268.7,03/03/17,1884.75,,
24/02/17,2863.3,24/02/17,268,24/02/17,1884.75,,
17/02/17,2872.5,17/02/17,270.7,17/02/17,1871.25,,
10/02/17,2918.5,10/02/17,276.8,10/02/17,1866.5,,
03/02/17,2800.2,03/02/17,261.6,03/02/17,1819.75,,
27/01/17,2807.7,27/01/17,268.95,27/01/17,1805.25,,
20/01/17,2792.1,20/01/17,262.5,20/01/17,1843.75,,
13/01/17,2839.5,13/01/17,269,13/01/17,1809,,
06/01/17,2688.5,06/01/17,254.6,06/01/17,1715,,
30/12/16,2659.6,30/12/16,250.55,30/12/16,1694,,
23/12/16,2663.2,23/12/16,247.25,23/12/16,1721.25,,
16/12/16,2744.2,16/12/16,256.1,16/12/16,1724.5,,
09/12/16,2806.1,09/12/16,264.2,09/12/16,1755.5,,
02/12/16,2770.6,02/12/16,261.5,02/12/16,1716.5,,
25/11/16,2840.5,25/11/16,266.8,25/11/16,1758.75,,
18/11/16,2644.5,18/11/16,246.75,18/11/16,1697.75,,
11/11/16,2696.4,11/11/16,250.9,11/11/16,1743.5,,
04/11/16,2535.5,04/11/16,226.5,04/11/16,1717.25,,
28/10/16,2486.6,28/10/16,219.35,28/10/16,1718.75,,
