,VIX
2020-09-17,20.1
2020-09-16,19.66
2020-09-15,20.5975
2020-09-14,21.19
2020-09-11,20.7125
2020-09-10,21.2625
2020-09-09,22.23
2020-09-08,22.7225
2020-09-07,22.0075
2020-09-04,22.1525
2020-09-03,20.5025
2020-09-02,21.105
2020-09-01,21.8
2020-08-31,22.835
2020-08-28,18.3475
2020-08-27,18.895
2020-08-26,19.3025
2020-08-25,19.315
2020-08-24,19.23
2020-08-21,19.9375
2020-08-20,20.6175
2020-08-19,19.9575
2020-08-18,20.43
2020-08-17,21.3075
2020-08-14,21.6725
2020-08-13,20.5675
2020-08-12,20.845
2020-08-11,21.36
2020-08-10,22.51
2020-08-07,22.5775
2020-08-06,23.15
2020-08-05,23.5675
2020-08-04,23.815
2020-08-03,25.185
2020-07-31,24.1925
2020-07-30,24.7275
2020-07-29,24.1125
2020-07-28,23.6425
2020-07-27,25.0175
2020-07-24,24.535
2020-07-23,24.64
2020-07-22,24.885
2020-07-21,24.4275
2020-07-20,24.7125
2020-07-17,24.1575
2020-07-16,25.3625
2020-07-15,26.29
2020-07-14,26.6375
2020-07-13,25.2525
2020-07-10,24.9425
2020-07-09,24.9125
2020-07-08,26.1
2020-07-07,25.1025
2020-07-06,25.1975
2020-07-03,25.7675
2020-07-02,26.5075
2020-07-01,28.1175
2020-06-30,29.1175
2020-06-29,28.91
2020-06-26,28.735
2020-06-25,29.7275
2020-06-24,29.5775
2020-06-23,29.34
2020-06-22,30.46
2020-06-19,29.965
2020-06-18,31.455
2020-06-17,33.355
2020-06-16,32.965
2020-06-15,32.5775
2020-06-12,30.8225
2020-06-11,29.66
2020-06-10,29.4375
2020-06-09,30.205
2020-06-08,29.6475
2020-06-05,28.68
2020-06-04,29.69
2020-06-03,30.0425
2020-06-02,30.115
2020-06-01,30.7425
2020-05-29,30.22
2020-05-28,30.0175
2020-05-27,31.2725
2020-05-26,31.47
2020-05-22,32.3775
2020-05-21,32.985
2020-05-20,35.81
2020-05-19,39.4525
2020-05-18,40.915
2020-05-15,38.0175
2020-05-14,38.1825
2020-05-13,38.835
2020-05-12,38.205
2020-05-11,38.0375
2020-05-08,38.4075
2020-05-07,39.93
2020-05-06,41.2475
2020-05-05,43.6075
2020-05-04,43.67
2020-04-30,33.9875
2020-04-29,33.8375
2020-04-28,35.355
2020-04-27,38.0425
2020-04-24,39.1175
2020-04-23,39.23
2020-04-22,42.8225
2020-04-21,45.1975
2020-04-20,43.455
2020-04-17,42.5925
2020-04-16,46.095
2020-04-15,49.735
2020-04-13,51.4575
2020-04-09,49.745
2020-04-08,52.2425
2020-04-07,51.8
2020-04-03,55.3025
2020-04-01,60.0525
2020-03-31,64.4075
2020-03-30,71.89
2020-03-27,70.385
2020-03-26,71.5325
2020-03-25,77.625
2020-03-24,83.6075
2020-03-23,71.985
2020-03-20,67.1
2020-03-19,72.1975
2020-03-18,63.955
2020-03-17,62.925
2020-03-16,58.875
2020-03-13,51.4725
2020-03-12,41.1625
2020-03-11,31.555
2020-03-09,30.8
2020-03-06,25.6425
2020-03-05,23.2475
2020-03-04,24.225
2020-03-03,24.5425
2020-03-02,25.2025
2020-02-28,23.235
2020-02-27,17.765
2020-02-26,18.26
2020-02-25,16.8975
2020-02-24,16.9975
2020-02-20,13.7
2020-02-19,14.0225
2020-02-18,14.51
2020-02-17,14.415
2020-02-14,13.615
2020-02-13,13.37
2020-02-12,13.6225
2020-02-11,13.88
2020-02-10,14.21
2020-02-07,13.7475
2020-02-06,13.78
2020-02-05,14.1725
2020-02-04,14.38
2020-02-03,15.7825
2020-02-01,16.835
2020-01-31,17.3675
2020-01-30,16.7975
2020-01-29,16.4975
2020-01-28,17.2975
2020-01-27,17.175
2020-01-24,15.56
2020-01-23,15.855
2020-01-22,16.36
2020-01-21,15.8625
2020-01-20,15.41
2020-01-17,14.1275
2020-01-16,14.1825
2020-01-15,14.12
2020-01-14,13.9125
2020-01-13,14.275
2020-01-10,14.0775
2020-01-09,13.9975
2020-01-08,15.64
2020-01-07,14.61
2020-01-06,14.7775
2020-01-03,12.695
2020-01-02,11.49
2020-01-01,11.5975
